Country	Democracy Index Score	Democracy Index Category	Population
People's Republic of China	3.14	Authoritarian	1,382,323,332
Russia	3.31	Authoritarian	143,439,832
Ethiopia	3.83	Authoritarian	101,853,268
Vietnam	3.53	Authoritarian	94,444,200
Egypt	3.18	Authoritarian	93,383,574
Iran	2.16	Authoritarian	80,043,146
Democratic Republic of the Congo	2.11	Authoritarian	79,722,624
Sudan	2.37	Authoritarian	41,175,541
Algeria	3.95	Authoritarian	40,375,954
Afghanistan	2.77	Authoritarian	33,369,945
Saudi Arabia	1.93	Authoritarian	32,157,974
Uzbekistan	1.95	Authoritarian	30,300,446
Yemen	2.24	Authoritarian	27,477,600
Angola	3.35	Authoritarian	25,830,958
North Korea	1.08	Authoritarian	25,281,327
Cameroon	3.66	Authoritarian	23,924,407
Ivory Coast	3.31	Authoritarian	23,254,184
Niger	3.85	Authoritarian	20,715,285
Syria	1.43	Authoritarian	18,563,595
Kazakhstan	3.06	Authoritarian	17,855,384
Zimbabwe	3.05	Authoritarian	15,966,810
Chad	1.5	Authoritarian	14,496,739
Guinea	3.14	Authoritarian	12,947,122
Rwanda	3.07	Authoritarian	11,882,766
Burundi	2.49	Authoritarian	11,552,561
Cuba	3.52	Authoritarian	11,392,889
Haiti	3.94	Authoritarian	10,848,175
Azerbaijan	2.71	Authoritarian	9,868,447
Belarus	3.62	Authoritarian	9,481,521
United Arab Emirates	2.75	Authoritarian	9,266,971
Tajikistan	1.95	Authoritarian	8,669,464
Jordan	3.86	Authoritarian	7,747,800
Togo	3.41	Authoritarian	7,496,833
Laos	2.21	Authoritarian	6,918,367
Libya	2.25	Authoritarian	6,330,159
Turkmenistan	1.83	Authoritarian	5,438,670
Eritrea	2.37	Authoritarian	5,351,680
Central African Republic	1.57	Authoritarian	4,998,493
Republic of the Congo	2.91	Authoritarian	4,740,992
Oman	3.04	Authoritarian	4,654,471
Mauritania	3.96	Authoritarian	4,166,463
Kuwait	3.85	Authoritarian	4,007,146
Qatar	3.18	Authoritarian	2,291,368
Gambia	2.97	Authoritarian	2,054,986
Guinea-Bissau	1.93	Authoritarian	1,888,429
Gabon	3.76	Authoritarian	1,763,142
Bahrain	2.79	Authoritarian	1,396,829
Swaziland	3.09	Authoritarian	1,304,063
Djibouti	2.9	Authoritarian	899,598
Equatorial Guinea	1.77	Authoritarian	869,587
Comoros	3.71	Authoritarian	807,118
